Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
54,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,12-14 years,6-8 years,Moderately satisfied,Moderately satisfied,Working as an engineering manager or other functional manager,I am not interested in new job opportunities,More than 4 years ago,A friend told me about a job opportunity,U.S. dollars ($),80000,Yearly,80000,USD,"Google Hangouts/Chat;Slack;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Six to nine months,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology,NA,NA,Agree,Agree,Disagree,C;C++;Java;JavaScript;PHP;Python;Ruby;SQL;Bash/Shell,Erlang;Go,PostgreSQL,PostgreSQL,Linux,Android;Google Home;Linux;Raspberry Pi,React,NA,Android Studio;Vim,Linux-based,2,Agile;Evidence-based software engineering;Pair programming;Scrum,Git;Mercurial;Subversion,Multiple times per day,Yes,No,NA,Strongly disagree,Strongly disagree,Strongly agree,Stopped going to a website because of their advertising,5,2,3,6,1,4,7,NA,Increasing automation of jobs,Nobody,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,3,A few times per week,No,NA,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",NA,NA,No,Not at all interested,Not at all interested,Not at all interested,A little bit interested,Not at all interested,Between 7:01 - 8:00 AM,5 - 8 hours,30 - 59 minutes,Daily or almost every day,NA,Daily or almost every day,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,Yes,No,The survey was too long,Somewhat difficult
55,Yes,Yes,United Kingdom,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,3-5 years,Extremely satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Less than a year ago,My job status or other personal status changed,British pounds sterling (£),NA,NA,NA,NA,Slack;Trello,Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,To win prizes or cash awards;Because I find it enjoyable,Agree,Disagree,Disagree,C++;F#;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,C++;Clojure;F#;JavaScript;HTML,MongoDB;Redis;PostgreSQL,NA,AWS;Linux;Mac OS;Serverless,Linux;Mac OS;Serverless,.NET Core;Node.js;React,Node.js;React,Atom;Eclipse;Visual Studio Code,MacOS,1,Agile,Git,Multiple times per day,Yes,I'm not sure/I can't remember,NA,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,2,5,6,1,4,3,7,"Artificial intelligence surpassing human intelligence (""the singularity"")","Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,NA,Daily or almost every day,Male,Bisexual or Queer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,NA,The survey was an appropriate length,Somewhat easy
56,Yes,No,Belgium,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",NA,20 to 99 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer,6-8 years,3-5 years,Slightly dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,My job status or other personal status changed,Euros (€),2600,NA,NA,EUR,"Facebook;Office / productivity suite (Microsoft Office, Google Suite, etc.);Trello",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,NA,Strongly agree,Agree,Neither Agree nor Disagree,C#;Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,C#;JavaScript;SQL;TypeScript;HTML;CSS,SQL Server;PostgreSQL,SQL Server;PostgreSQL,Android;Raspberry Pi,Android;Raspberry Pi,Angular;.NET Core;Xamarin,Angular;.NET Core;Node.js;React;Xamarin,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Windows,2,Agile;Lean;Scrum,Git,A few times per week,Yes,No,NA,Somewhat agree,Strongly agree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad),2,3,1,6,5,7,4,Algorithms making important decisions,Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,I'm not sure / I can't remember,NA,"No, I didn't know that Stack Overflow had a jobs board",NA,NA,No,Somewhat interested,Very interested,Very interested,Extremely interested,Somewhat interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,NA,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,Yes,NA,The survey was too long,Somewhat easy
59,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Full-stack developer;Product manager,30 or more years,12-14 years,Neither satisfied nor dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,My job status or other personal status changed,U.S. dollars ($),NA,NA,NA,NA,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,NA,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,C#;CoffeeScript;Erlang;Haskell;JavaScript;Ruby,C#;Erlang;F#;Haskell,MongoDB;SQL Server;PostgreSQL,MongoDB;Elasticsearch,AWS;Linux,NA,.NET Core,NA,Vim;Visual Studio;Visual Studio Code,Windows,2,Agile;Extreme programming (XP);Scrum,Git;Team Foundation Version Control,A few times per week,No,NA,NA,Strongly agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1,3,2,4,7,6,5,Increasing automation of jobs,NA,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,No,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,"No, I know what it is but I don't have one",10 (Very Likely),Yes,A little bit interested,Not at all interested,A little bit interested,A little bit interested,A little bit interested,Before 5:00 AM,9 - 12 hours,1 - 2 hours,Daily or almost every day,NA,3 - 4 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,45 - 54 years old,Yes,Yes,The survey was too long,Neither easy nor difficult
61,Yes,No,India,No,Employed full-time,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Designer;Front-end developer,0-2 years,0-2 years,Slightly satisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,A recruiter contacted me,Indian rupees (₹),660000,Monthly,123984,INR,"Other chat system (IRC, proprietary software, etc.)",Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",NA,NA,Agree,Agree,Agree,PHP;HTML;CSS,C#;JavaScript;PHP;SQL;HTML;CSS,MySQL;SQLite,MySQL;SQLite,NA,Android;iOS;Firebase,Angular;.NET Core;Node.js,Angular;.NET Core;Node.js;Xamarin,Android Studio;Visual Studio;Visual Studio Code,Windows,1,Agile;Scrum,Git,Multiple times per day,No,NA,NA,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),5,3,1,6,2,7,4,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,The person who came up with the idea,No,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",NA,I'm not sure,NA,Very interested,Very interested,Somewhat interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,3 - 4 hours,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,35 - 44 years old,Yes,NA,The survey was an appropriate length,Neither easy nor difficult
66,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Back-end developer;Embedded applications or devices developer,9-11 years,6-8 years,Extremely satisfied,Extremely satisfied,Doing the same work,I am not interested in new job opportunities,Between 1 and 2 years ago,My job status or other personal status changed,U.S. dollars ($),74000,Yearly,74000,USD,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.)",One to three months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",NA,NA,Agree,Neither Agree nor Disagree,Disagree,Assembly;C;C++;C#;Python;Rust;Bash/Shell,Assembly;C;C++;C#;F#;Python;Rust;TypeScript;Bash/Shell,NA,NA,Arduino,Arduino;ESP8266,.NET Core;TensorFlow,.NET Core;TensorFlow,Notepad++;Sublime Text;Vim;Visual Studio,Linux-based,1,NA,Git;Copying and pasting files to network shares,Multiple times per day,Yes,Yes,I wanted to view a specific advertisement;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Strongly agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1,5,4,3,2,6,7,Algorithms making important decisions,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",The person who came up with the idea,Yes,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",6,Yes,Somewhat interested,A little bit interested,A little bit interested,Very interested,Somewhat interested,Between 7:01 - 8:00 AM,9 - 12 hours,Less than 30 minutes,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Somewhat easy
67,Yes,No,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer,6-8 years,0-2 years,Slightly dissatisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,A friend told me about a job opportunity,Indian rupees (₹),NA,NA,NA,NA,Jira,NA,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Pre-scheduled tutoring or mentoring sessions with a friend or colleague,NA,NA,Agree,Agree,Disagree,C;C++;Java;JavaScript;PHP;Python;HTML;CSS,Java;JavaScript;Python;HTML;CSS,SQL Server;MySQL,MongoDB;MySQL,Android;Firebase,NA,NA,Angular;Django,IntelliJ;Notepad++;PHPStorm;Visual Studio Code,Windows,1,NA,Git,Once a day,Yes,No,NA,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,NA,5,6,1,7,4,2,3,"Artificial intelligence surpassing human intelligence (""the singularity"")","Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,Depends on what it is,The person who came up with the idea,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,No,Very interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Between 7:01 - 8:00 AM,5 - 8 hours,1 - 2 hours,Never,Standing desk;Ergonomic keyboard or mouse,3 - 4 times per week,Male,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",South Asian,18 - 24 years old,No,NA,The survey was too long,Very easy
72,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Full-stack developer,15-17 years,9-11 years,Slightly satisfied,Slightly satisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,My job status or other personal status changed,U.S. dollars ($),115000,Yearly,115000,USD,Confluence;Jira;Slack,Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,NA,Agree,Neither Agree nor Disagree,Disagree,Erlang;Go;Groovy;Java;JavaScript;Ruby;Scala;TypeScript;Kotlin;HTML;CSS;Bash/Shell,Groovy;Haskell;Rust;Scala;Kotlin,Cassandra;MongoDB;Amazon DynamoDB,Cassandra;Apache HBase;Elasticsearch,Amazon Echo;AWS;Linux,Linux,Node.js;Spring,Hadoop;Spark,IntelliJ;Sublime Text;Vim,Linux-based,2,Agile;Pair programming;Scrum,Git,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website,Neither agree nor disagree,Somewhat disagree,Somewhat agree,NA,4,5,2,3,6,1,7,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,Yes,9,Yes,Somewhat interested,Not at all interested,Somewhat interested,Extremely interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,Standing desk;Ergonomic keyboard or mouse;Wrist/hand supports or braces,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Somewhat easy
77,Yes,Yes,United States,No,Employed full-time,Associate degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;DevOps specialist,15-17 years,3-5 years,Moderately satisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,Between 2 and 4 years ago,My job status or other personal status changed,U.S. dollars ($),90000,NA,90000,USD,"Confluence;Jira;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",NA,NA,Neither Agree nor Disagree,Disagree,Disagree,Ruby;Bash/Shell,Ruby;Rust,PostgreSQL;Elasticsearch,PostgreSQL;Elasticsearch,Linux;Mac OS,Linux;Mac OS,NA,NA,Vim,MacOS,2,Agile;Kanban;Pair programming;Scrum,Git,A few times per week,Yes,I'm not sure/I can't remember,NA,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Paid to access a website advertisement-free,3,5,4,1,6,7,2,Increasing automation of jobs,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,5,A few times per month or weekly,I'm not sure / I can't remember,NA,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",NA,NA,No,Not at all interested,Not at all interested,Not at all interested,Very interested,A little bit interested,I do not have a set schedule,9 - 12 hours,Less than 30 minutes,Never,Standing desk;Fatigue-relieving floor mat;Wrist/hand supports or braces,Daily or almost every day,"Male;Non-binary, genderqueer, or gender non-conforming",Bisexual or Queer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Somewhat easy
79,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Full-stack developer,18-20 years,18-20 years,Moderately satisfied,Slightly satisfied,Working as an engineering manager or other functional manager,I am not interested in new job opportunities,Between 2 and 4 years ago,My job status or other personal status changed,U.S. dollars ($),115000,Yearly,115000,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello",Less than a month,"Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;The technology’s online help system",NA,NA,Strongly agree,Strongly disagree,Disagree,C#;F#;JavaScript;Lua;TypeScript;HTML;CSS,C#;F#;Haskell;Rust;Swift;TypeScript,NA,NA,Azure;Windows Desktop or Server,Azure;Linux;Raspberry Pi;Windows Desktop or Server,Angular;Node.js;Cordova,.NET Core;React;Xamarin,Notepad++;Vim;Visual Studio;Visual Studio Code,Windows,3,Agile;Mob programming;Pair programming,Git,Multiple times per day,Yes,No,NA,Somewhat agree,Somewhat agree,Strongly disagree,Stopped going to a website because of their advertising,2,1,6,5,3,7,4,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,9,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",6,I'm not sure,Somewhat interested,Not at all interested,A little bit interested,Somewhat interested,A little bit interested,Between 6:01 - 7:00 AM,9 - 12 hours,Less than 30 minutes,Never,Wrist/hand supports or braces,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,35 - 44 years old,Yes,No,The survey was an appropriate length,Very easy
81,No,Yes,Germany,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Full-stack developer;System administrator,9-11 years,9-11 years,Moderately satisfied,Extremely satisfied,Working as a product manager or project manager,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,My job status or other personal status changed,Euros (€),5000,Monthly,73428,EUR,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology,NA,NA,Agree,Strongly agree,Disagree,C;C++;C#;Java;JavaScript;VB.NET;HTML;CSS;Bash/Shell,C;C++;C#;Hack;Java;VB.NET,MySQL;MariaDB,Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Google Cloud Storage;Elasticsearch,AWS;Linux;Windows Desktop or Server,AWS;Linux;Windows Desktop or Server,Spring,.NET Core,Eclipse;IntelliJ;Notepad++;PHPStorm;Visual Studio,Windows,3,Agile;Extreme programming (XP);Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website,Neither agree nor disagree,Somewhat agree,Somewhat agree,Stopped going to a website because of their advertising,7,4,1,3,2,6,5,NA,NA,Nobody,"I don't care about it, or I haven't thought about it.",Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Unsure / I don't know,4,A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,Yes,A little bit interested,Somewhat interested,Not at all interested,Not at all interested,Not at all interested,Between 6:01 - 7:00 AM,5 - 8 hours,1 - 2 hours,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,35 - 44 years old,Yes,NA,The survey was too long,Neither easy nor difficult
83,Yes,Yes,Germany,"Yes, full-time",Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer,6-8 years,0-2 years,Slightly satisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,My job status or other personal status changed,Euros (€),NA,NA,NA,NA,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,NA,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,C;C++;C#;Java;Python;SQL,C++;C#;Scala;Kotlin,SQL Server;MySQL;MariaDB,NA,Arduino;Linux;Windows Desktop or Server,Arduino;Linux;Windows Desktop or Server,TensorFlow,Xamarin;TensorFlow,IntelliJ;Notepad++;PyCharm;Visual Studio,Windows,2,NA,Git;Subversion,A few times per week,Yes,No,NA,Somewhat disagree,Somewhat agree,Strongly agree,Stopped going to a website because of their advertising,3,6,2,4,7,1,5,Increasing automation of jobs,Increasing automation of jobs,The developers or the people creating the AI,"I don't care about it, or I haven't thought about it.",Depends on what it is,Depends on what it is,The person who came up with the idea,Yes,8,A few times per week,No,NA,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",NA,NA,No,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Between 5:00 - 6:00 AM,9 - 12 hours,Less than 30 minutes,3 - 4 times per week,Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,18 - 24 years old,No,NA,The survey was an appropriate length,Very easy
84,Yes,No,Ireland,No,Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration","10,000 or more employees",Back-end developer;Full-stack developer,18-20 years,15-17 years,Moderately satisfied,Moderately satisfied,Working as an engineering manager or other functional manager,I am not interested in new job opportunities,Between 2 and 4 years ago,A recruiter contacted me,Euros (€),105000,NA,128507,EUR,"Confluence;Jira;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I already had a full-time job as a developer when I began the program,Because I find it enjoyable,Agree,Agree,Strongly disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
